conn,dep-1,dep-2,POS
after,case,nmod,IN
also,advmod,conj,RB
also,advmod,root,RB
and,cc,acl,CC
and,advmod,root,CC
and,cc,expl,CC
and,cc,dep,CC
and,cc,ccomp,CC
and,cc,conj,CC
and,cc,nsubjpass,CC
and,cc,compound,CC
and,cc,advmod,CC
and,cc,xcomp,CC
and,cc,nummod,CC
and,cc,advcl,CC
and,cc,appos,CC
and,cc,amod,CC
and,cc,nmod,CC
and,cc,root,CC
and,cc,nsubj,CC
and,cc,dobj,CC
as,cc,dep,RB
as,advmod,conj,RB
as,mark,advcl,IN
as,advmod,dep,RB
as,mwe,cc,IN
as,mark,dep,IN
as,cc,nmod,RB
as,advmod,root,IN
as,case,nmod,IN
because,mark,conj,IN
because,mark,dep,IN
because,case,nmod,IN
because,mark,advcl,IN
before,nmod,ccomp,IN
before,advmod,advcl,RB
but,cc,nmod,CC
but,cc,advcl,CC
but,cc,parataxis,CC
but,cc,dep,CC
but,advmod,nsubj,CC
but,cc,conj,CC
but,cc,ccomp,CC
but,cc,cc,CC
but,cc,root,CC
however,advmod,root,RB
if,mark,dep,IN
if,mark,parataxis,IN
if,mark,conj,IN
if,case,nmod,IN
if,mark,acl,IN
if,mwe,mark,IN
if,dep,acl,IN
if,mark,advcl,IN
if,amod,nmod,IN
if,mark,root,IN
so,advmod,root,RB
so,mark,acl,IN
so,mark,advcl,IN
so,mark,conj,IN
so,advmod,advcl,RB
so,dep,root,IN
so,advmod,amod,RB
so,advmod,acl,RB
so,advmod,conj,RB
so,case,advmod,IN
so,advmod,ccomp,RB
so,root,root,RB
so,advmod,advmod,RB
so,advmod,xcomp,RB
so,mark,root,IN
so,advmod,csubj,RB
still,advmod,ccomp,RB
still,advmod,root,RB
still,dep,ccomp,RB
still,advmod,conj,RB
then,advmod,xcomp,RB
then,advmod,conj,RB
then,advmod,root,RB
then,advmod,advcl,RB
though,mark,advcl,IN
though,advmod,root,RB
when,advmod,xcomp,WRB
when,advmod,acl,WRB
when,advmod,advcl,WRB
when,advmod,conj,WRB
while,mark,acl,IN
while,mark,advcl,IN
